Date,,Name
Friday,Prithvi Jayanti,Public Holiday
Monday,Maghe Sankranti,Public Holiday
Saturday,Sonam Losar (Tamang New Year),Optional Holiday
Monday,National Democracy Day,Public Holiday
Friday,Maha Shivaratri,Public Holiday
Friday,Nari Dibas,Public Holiday
Monday,Gyalpo Losar,Optional Holiday
Tuesday,Ramadan Start,Observance
Wednesday,March Equinox,Season
Sunday,Holi Purnima (Hill region),Local holiday
Monday,Holi Purnima (Terai region),Local holiday
Monday,Godhe Yatra,Local holiday
Thursday,Ramjan Edul Fikra,Optional Holiday
Saturday,Nepali New Year,Public Holiday
Wednesday,Ram Nawami,Public Holiday
Tuesday,Holiday for Emir of Qatar's Visit,Public Holiday
Wednesday,Majdoor Divas,Public Holiday
Thursday,Buddha Jayanti (Tentative Date),Public Holiday
Thursday,Ubhauli Parva,Optional Holiday
Tuesday,Ganatantra Diwas (Republic Day),Public Holiday
Monday,Edul Aajaha (Tentative Date),Optional Holiday
Friday,June Solstice,Season
Monday,Janai Purnima,Public Holiday
Tuesday,Gai Jatra,Public Holiday
Monday,Gaura Parba,Optional Holiday
Monday,Shree Krishna Janamashtami,Public Holiday
Friday,Hartalika Teej,Optional Holiday
Tuesday,Indra Jatra,Local holiday
Thursday,Constitution Day,Public Holiday
Sunday,September Equinox,Season
Wednesday,Jitiya Parwa,Optional Holiday
Thursday,Ghatasthapana,Public Holiday
Thursday,Phulpati (Dashain),Public Holiday
Thursday,Astami (Dashain),Public Holiday
Friday,Nawami (Dashain),Public Holiday
Saturday,Dashami (Dashain),Public Holiday
Sunday,Ekadashi (Dashain),Public Holiday
Friday,Laxmi Puja (Tihar),Public Holiday
Saturday,Gobhardan Pujan (Tihar),Public Holiday
Sunday,Bhai Tika (Tihar),Public Holiday
Thursday,Chhat Parwa,Public Holiday
Sunday,Phalgunanda Jayanti,Optional Holiday
Friday,Guru Nanak Jayanti,Optional Holiday
Tuesday,International Day of Disabled Persons,Optional Holiday
Sunday,Udhauli Parva,Optional Holiday
Saturday,December Solstice,Season
Wednesday,Christmas Day,Optional Holiday
Monday,Tamu Lhosar,Optional Holiday
